,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06270737648010254,0.0038957367864849955,0.0035905838012695312,0.001196742108861149,sqrt,2,50,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",-0.007041364764639235,0.13293212978586433,-0.11098837687851892,0.15265994772235592,0.10248388259934149,0.054009243692880717,0.09925922179739867,28
1,0.1927412509918213,0.015439942313471318,0.007978582382202148,0.0006309774537662714,sqrt,2,150,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",-0.039350166007946275,0.12279496218918617,-0.1790016784812527,0.2414734323360015,0.23128002004628034,0.0754393140164538,0.1624888026316731,25
2,0.2995473384857178,0.009298194530506754,0.013364267349243165,0.001352732873787104,sqrt,2,250,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}",-0.027568366889314078,0.12526995483091663,-0.2181420791023574,0.21010076827048796,0.21510355673742,0.06095276676943062,0.1648479403426549,27
3,0.41672744750976565,0.007833886865442948,0.018351364135742187,0.0007976057497093632,sqrt,2,350,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 350}",-0.04560970148436172,0.15064510443490398,-0.19947477771080835,0.21102491398359768,0.20716010256395,0.06474912835745632,0.16189438137459336,26
4,0.043883228302001955,0.0006307514909294539,0.0029920101165771484,2.86102294921875e-07,sqrt,4,50,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",-0.1520187320740367,-0.23924596391035613,-0.08133810275934228,-0.04321577969045398,-0.31927671364263555,-0.16701905841536493,0.10128435933371198,35
5,0.13049912452697754,0.002222546541835519,0.007978725433349609,4.862803948967729e-07,sqrt,4,150,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}",-0.12939734551409243,-0.22220381356883778,-0.11058842004419756,0.036982627891376185,-0.20276550833050777,-0.12559449191325187,0.09160752215625295,31
6,0.2224058151245117,0.007569860398872749,0.013165140151977539,0.000977788045339286,sqrt,4,250,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}",-0.12079240069720254,-0.21345433101624245,-0.13804139560867323,0.03796920309094931,-0.20266346935701218,-0.1273964787176362,0.09008197449467019,32
7,0.31111793518066405,0.0073458456910145955,0.01815176010131836,0.00039887432558979505,sqrt,4,350,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 350}",-0.13103084431819312,-0.18125813911720656,-0.13134533713119434,0.0465019112048648,-0.20284679580540388,-0.11999584103342661,0.08785150395150405,29
8,0.041090536117553714,0.0007467226720127274,0.002792644500732422,0.00039889824938326134,sqrt,6,50,"{'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 50}",-0.15577709802634132,-0.2981057267582057,-0.2191856767280933,-0.02014361760367156,-0.3476199793343342,-0.20816641969012922,0.1146778212278463,36
9,0.12710947990417482,0.010279452122346731,0.007779216766357422,0.00039916108292780805,sqrt,6,150,"{'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 150}",-0.13859537273376654,-0.23696967286262938,-0.17879142838340134,0.01927651401530195,-0.14674137603869264,-0.1363642672006376,0.08515659299395074,34
10,0.20134010314941406,0.002350087561539921,0.012565708160400391,0.0004887919437498363,sqrt,6,250,"{'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 250}",-0.1250853468598272,-0.21282699467258848,-0.18551951185037496,0.015659840395646496,-0.14886604345269672,-0.13132761128796816,0.07941131531346107,33
11,0.28388247489929197,0.00408275563856315,0.016954469680786132,1.533311385232308e-06,sqrt,6,350,"{'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 350}",-0.1320261828411724,-0.18525696729041852,-0.1788046357488806,0.016466208880467903,-0.13667523344137011,-0.12325936208827475,0.07308769856774786,30
12,0.0613762378692627,0.0006445644870579408,0.0029917240142822267,0.0006309772519693961,0.25,2,50,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 50}",0.47616656941771107,0.7405220717425414,0.3612729432494831,0.7997752306022085,0.7308213756681653,0.6217116381360218,0.171312099830974,20
13,0.19911136627197265,0.008144146935775599,0.008775806427001953,0.00039904127199602926,0.25,2,150,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 150}",0.4435032837946601,0.7773734520493512,0.3463037767065884,0.8044215113307274,0.7613156365772638,0.6265835320917181,0.19214151315892578,17
14,0.32912111282348633,0.007219472940716097,0.013762855529785156,0.0007462637507019351,0.25,2,250,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 250}",0.4622017722886549,0.7772508087846575,0.2981340233159211,0.8082292325406475,0.7484348629900537,0.618850139983987,0.2025561411574082,22
15,0.4341709136962891,0.013856748229739467,0.01735382080078125,0.000489064455542303,0.25,2,350,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 350}",0.4486340195167827,0.7694798408046701,0.33177691400002274,0.7993759702732801,0.7505751176339825,0.6199683724457477,0.19183777752695755,21
16,0.05210986137390137,0.0003860737780723947,0.002792644500732422,0.000399017362476078,0.25,4,50,"{'max_features': 0.25, 'min_samples_split': 4, 'n_estimators': 50}",0.45470819659700323,0.6779379579292188,0.5201337161714767,0.7678205890282092,0.7341009284844707,0.6309402776420757,0.12241156966086052,15
