,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0488581657409668,0.016466703902947254,0.0001995086669921875,0.000399017333984375,tanh,0.0001,"(10, 30, 10)",constant,2000,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",-0.10738641076333533,-0.10366163781341298,-0.5686382514092521,0.0037154416489197928,-0.4255543318930006,-0.24030503804601624,0.21817643075484616,30
1,0.333284330368042,0.00938697638111257,0.0007953643798828125,0.00039770091422114466,tanh,0.0001,"(10, 30, 10)",constant,2000,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.7056493130389911,0.834823375357336,-3.0545128488401234,0.6178998985339192,0.7042986921325872,-0.038368313955457964,1.5096619528579107,21
2,0.6480185508728027,0.5131272834531607,0.00040030479431152344,0.0004902754699232072,tanh,0.0001,"(10, 30, 10)",adaptive,2000,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",-0.032111502700985284,-0.02729818644693971,0.261060626700372,-0.06226592602162251,0.10095463678836192,0.048067929663837286,0.12037046591565596,17
3,0.3304722309112549,0.015633051260420583,0.0005980968475341797,0.0004883443104360827,tanh,0.0001,"(10, 30, 10)",adaptive,2000,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.7056493130389911,0.834823375357336,-3.0545128488401234,0.6178998985339192,0.7042986921325872,-0.038368313955457964,1.5096619528579107,21
4,0.04888315200805664,0.0016671702466418232,0.0005995750427246094,0.0004895537668483132,tanh,0.0001,"(20,)",constant,2000,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",-0.7509438373519901,0.007537659481974046,-0.8981737562868373,-0.19104624882721044,-1.1606472732159627,-0.5986546912400053,0.43871474216079703,32
5,0.7888778209686279,0.07639174717239858,0.0005965232849121094,0.0004870686291006735,tanh,0.0001,"(20,)",constant,2000,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.6985314546779617,0.7846768135383324,-1.1260426412622917,0.5698809538587026,0.7103947176190604,0.3274882596863531,0.730043571309292,9
6,0.6847153663635254,0.2164272394774457,0.0005979537963867188,0.00048822771930071533,tanh,0.0001,"(20,)",adaptive,2000,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",-0.4329088565543018,0.00935344007117711,-0.14871001542817242,-0.2073182798350468,-0.17793809279929107,-0.19150436090912698,0.14204609561667753,27
7,0.8393993377685547,0.11707252877214898,0.0009964942932128907,0.0006303754336088055,tanh,0.0001,"(20,)",adaptive,2000,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.6985314546779617,0.7846768135383324,-1.1260426412622917,0.5698809538587026,0.7103947176190604,0.3274882596863531,0.730043571309292,9
8,0.0595893383026123,0.024845360033899328,0.0007976055145263672,0.0003988347515621166,tanh,0.05,"(10, 30, 10)",constant,2000,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",-0.10727365105277298,-0.1035831738213504,-0.5683431524066962,0.003683318831669391,-0.4253471037962109,-0.2401727524490722,0.21806880540201112,29
9,0.32894721031188967,0.010258005505734576,0.0004002571105957031,0.0004902195456862687,tanh,0.05,"(10, 30, 10)",constant,2000,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.7069111646425048,0.8339882992297658,-2.9183542290915043,0.6168314311303345,0.7065432543896002,-0.010816015939859813,1.4554140811572722,19
10,0.6311377048492431,0.4970430351114183,0.000997161865234375,2.86102294921875e-07,tanh,0.05,"(10, 30, 10)",adaptive,2000,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",-0.03201981591767655,-0.027268852774823493,0.25878890859970394,-0.062352002356307334,0.09599621385431045,0.046628890281041405,0.11914053582662727,18
11,0.3312352180480957,0.00954142910560945,0.0007981300354003906,0.0007458195434203927,tanh,0.05,"(10, 30, 10)",adaptive,2000,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.7069111646425048,0.8339882992297658,-2.9183542290915043,0.6168314311303345,0.7065432543896002,-0.010816015939859813,1.4554140811572722,19
