,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.12327008247375489,0.00970121224447508,0.004188966751098633,0.00039889813538240604,0.0001,3,1,100,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100}",-0.5702066117832745,-0.24461736156780534,-0.1726835896721004,-0.29176507572273946,-0.6176988193881243,-0.3793942916268088,0.17987295746372603,144
1,0.34792289733886717,0.0019419654474231993,0.0041887760162353516,0.0003989935597982996,0.0001,3,1,300,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300}",-0.5165389139663692,-0.20017573468385597,-0.1465861668837214,-0.2715331778178842,-0.5665045642157933,-0.3402677115135248,0.1697747856187059,132
2,0.5784550666809082,0.0014105707287834733,0.004388236999511718,0.0004884997731965918,0.0001,3,1,500,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",-0.46479794584506284,-0.1574791778573683,-0.12149835079726778,-0.2524609096820962,-0.5170848727468349,-0.302664251385726,0.16042674488600134,120
3,0.11987972259521484,0.0007462891973695359,0.0041888713836669925,0.00039906503194434484,0.0001,3,3,100,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100}",-0.5702066117832745,-0.24461736156780534,-0.1726835896721004,-0.2914929512947326,-0.6176988193881243,-0.37933986674120745,0.1798995027650769,142
4,0.3510622978210449,0.002360134784988275,0.004388236999511718,0.0004884997964692402,0.0001,3,3,300,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300}",-0.5165389139663692,-0.20017573468385597,-0.1465861668837214,-0.26926267484840993,-0.5665045642157933,-0.33981361091962997,0.1699609585946714,131
5,0.5802503108978272,0.0011632436796102138,0.003989410400390625,3.8146972656249997e-07,0.0001,3,3,500,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500}",-0.46479794584506284,-0.1574791778573683,-0.12149835079726778,-0.24781632106042184,-0.5170848727468349,-0.30173533366139116,0.16072791162436964,117
6,0.11948084831237793,0.0007464166156979454,0.003989362716674804,1.1680077279964342e-07,0.0001,3,5,100,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100}",-0.5702066117832745,-0.24461736156780534,-0.1726835896721004,-0.2914929512947326,-0.6176988193881243,-0.37933986674120745,0.1798995027650769,142
7,0.3498655319213867,0.0011630882958878759,0.004587841033935547,0.0004885776558898482,0.0001,3,5,300,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300}",-0.5165389139663692,-0.20017573468385597,-0.14654586565397465,-0.26926267484840993,-0.5665045642157933,-0.3398055506736806,0.16997012275025294,130
8,0.5826438426971435,0.001323045741041055,0.0041887760162353516,0.00039899350281149214,0.0001,3,5,500,"{'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500}",-0.46479794584506284,-0.1574791778573683,-0.12131553211614898,-0.24781632106042184,-0.5170848727468349,-0.30169876992516736,0.16076892485103214,116
9,0.17493247985839844,0.0021482472657669894,0.0041888713836669925,0.0003991842946292464,0.0001,5,1,100,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}",-0.5703809338123613,-0.24321782019571758,-0.17293174323026195,-0.2883412890896857,-0.6175846462388337,-0.37849128651337205,0.18037069050440793,133
10,0.5180165767669678,0.005299876472514949,0.004587745666503907,0.0004885971129893826,0.0001,5,1,300,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300}",-0.5170544539429689,-0.19609336102053954,-0.1473023549283201,-0.26144579169301596,-0.5661275159916328,-0.3376046955152955,0.17115227870699806,121
11,0.850927734375,0.006413900845190888,0.003789472579956055,0.00039877892965964237,0.0001,5,1,500,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 500}",-0.4657438283439599,-0.1510520180936299,-0.12259349109192819,-0.2359701259460134,-0.5164106708550165,-0.29835402686610957,0.1625111961955498,109
12,0.17054448127746583,0.001892403827224038,0.0047872066497802734,0.00039887435409171316,0.0001,5,3,100,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100}",-0.5703839353333076,-0.24359547233115864,-0.17269648280465066,-0.2908791980832799,-0.6177816742345841,-0.37906735255739615,0.18016951963245023,136
13,0.5333757877349854,0.01025690018174494,0.004388093948364258,0.0004889088142400385,0.0001,5,3,300,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 300}",-0.5170796357187146,-0.19721191148054285,-0.14658296648035063,-0.2689877664597151,-0.5667542750433963,-0.3393233110365439,0.17065387981989982,124
14,0.8718716144561768,0.009040081138562805,0.003990936279296875,4.0387853961676974e-06,0.0001,5,3,500,"{'learning_rate': 0.0001, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 500}",-0.4656912879503299,-0.15270626396190834,-0.12137956597141919,-0.2480311798751711,-0.5174942464354759,-0.3010605088388609,0.16189699758424958,112
